대학,가게 이름,메뉴,주소,메뉴 평점,인터넷 평점,내 평점,총 내 평점
서울대 맛집,퍼블리코타코,"멕시코,남미음식",서울 관악구 관악로14길 106 1층,-1,4.47,0.0,4.47
서울대 맛집,리앙크리스피롤 서울대입구점,샌드위치,서울 관악구 남부순환로 1820 1056호,-1,4.46,0.0,4.46
서울대 맛집,9ounce Burger 낙성대점,햄버거,서울 관악구 관악로12길 108 1층,-1,4.46,0.0,4.46
서울대 맛집,분짜하노이 서울대입구점,베트남음식,서울 관악구 관악로 154 지하1층,-1,4.46,0.0,4.46
서울대 맛집,쟝블랑제리,베이커리,서울 관악구 낙성대역길 8,-1,4.44,0.0,4.44
중앙대 맛집,백소정 중앙대점,일식당,서울 동작구 상도로47길 22,-1,4.81,0.0,4.81
중앙대 맛집,작은섬,일식당,서울 동작구 상도로47길 22,-1,4.8,0.0,4.8
중앙대 맛집,라이베쿠헨,"다이어트,샐러드",서울 동작구 흑석로 114 1층,-1,4.79,0.0,4.79
중앙대 맛집,리버풀펍,"육류,고기요리",서울 동작구 흑석로 106-5 2층,-1,4.68,0.0,4.68
중앙대 맛집,펠어커피 상도점,카페,서울 동작구 흑석로 101-7,-1,4.67,0.0,4.67
중앙대 맛집,삼목등심,"육류,고기요리",서울 동작구 서달로10길 9-3,-1,4.64,0.0,4.64
중앙대 맛집,프랑세즈,베이커리,서울 동작구 현충로 96,-1,4.59,0.0,4.59
중앙대 맛집,고기싸롱 중앙대점,"육류,고기요리",서울 동작구 흑석로 106-5 2층,-1,4.58,0.0,4.58
중앙대 맛집,나비루,이탈리아음식,"서울 동작구 현충로 124 1, 2F",-1,4.58,0.0,4.58
중앙대 맛집,장독대,한식,서울 동작구 흑석로 112 중앙타워빌 3층,-1,4.56,0.0,4.56
중앙대 맛집,미니자이언트,양식,서울 동작구 흑석로 81-6 1층,-1,4.56,0.0,4.56
중앙대 맛집,터방내,카페,서울 동작구 흑석로 101-7,-1,4.43,0.0,4.43
중앙대 맛집,다래식당,한식,서울 동작구 만양로2길 2 신성빌딩,-1,4.42,0.0,4.42
중앙대 맛집,브레드숨,베이커리,서울 동작구 노량진로18길 37,-1,4.4,0.0,4.4
중앙대 맛집,닥터로빈 흑석점,이탈리아음식,"서울 동작구 현충로 124 1, 2F",-1,4.39,0.0,4.39
중앙대 맛집,엉터리생고기 흑석점,"육류,고기요리",서울 동작구 서달로14나길 10,-1,4.38,0.0,4.38
중앙대 맛집,뚜스뚜스 흑석역점,베이커리,서울 동작구 노량진로18길 37,-1,4.33,0.0,4.33
중앙대 맛집,은행골 중대점,양식,서울 동작구 흑석로 81-6 1층,-1,4.31,0.0,4.31
중앙대 맛집,사랑방,감자탕,서울 동작구 양녕로 282-1 1층,3.0,4.89,5.0,4.296666666666667
중앙대 맛집,박군하누,소고기구이,서울 동작구 서달로15길 23 1층,3.0,4.8,0.0,3.9
한양대 맛집,봄의정원 왕십리점,샤브샤브,서울 성동구 왕십리광장로 17 3층 RE04-2호,-1,4.8,0.0,4.8
한양대 맛집,카모메 한양대점,일식당,서울 성동구 마조로 17 1층 4호,-1,4.73,0.0,4.73
한양대 맛집,광명대창집 왕십리점,퓨전음식,서울 성동구 왕십리로14나길 10,-1,4.58,0.0,4.58
한양대 맛집,한술,요리주점,서울 성동구 마장로 229,-1,4.56,0.0,4.56
한양대 맛집,진작다이닝,퓨전음식,서울 성동구 왕십리로14나길 10,-1,4.55,0.0,4.55
한양대 맛집,업사이드커피 뚝섬점,한식,서울 성동구 고산자로14길 26,-1,4.53,0.0,4.53
한양대 맛집,우동가조쿠,"우동,소바",서울 성동구 왕십리로 215-1,-1,4.5,0.0,4.5
한양대 맛집,윕 성수,"우동,소바",서울 성동구 왕십리로 215-1,-1,4.42,0.0,4.42
한양대 맛집,프라이데이무브먼트,요리주점,서울 성동구 마장로 229,-1,4.39,0.0,4.39
한양대 맛집,본노엘,"육류,고기요리",서울 성동구 마조로7길 16,-1,4.39,0.0,4.39
한양대 맛집,정통집 왕십리한양대점,돼지고기구이,서울 성동구 마조로1가길 11 1층 정통집,-1,4.39,0.0,4.39
한양대 맛집,반상회 성수,한식,서울 성동구 아차산로1길 12 1층 반상회 성수,-1,4.36,0.0,4.36
한양대 맛집,행운돈가스,돈가스,서울 성동구 마조로1길 2,-1,4.3,0.0,4.3
한양대 맛집,갱생,"칼국수,만두",서울 성동구 상원10길 10 1층,3.0,4.87,0.0,3.935
한양대 맛집,샐피,피자,서울 성동구 마조로5길 3 지하1층,3.0,4.79,0.0,3.895
한양대 맛집,거무티티,"맥주,호프",서울 성동구 마조로5길 14,3.0,4.75,0.0,3.875
한양대 맛집,고기를품다 본점,종합분식,서울 성동구 마조로 33,3.0,4.69,0.0,3.845
한양대 맛집,팀메리,소고기구이,서울 동대문구 천호대로 327,3.0,4.65,0.0,3.825
한양대 맛집,누이테이블,피자,서울 성동구 마조로5길 3 지하1층,3.0,4.61,0.0,3.805
한양대 맛집,장어구이,"초밥,롤",서울 성동구 왕십리로14길 8 1층,3.0,4.56,0.0,3.78
연세대 맛집,240H,"육류,고기요리",서울 서대문구 연세로9길 24 1층,-1,4.95,0.0,4.95
연세대 맛집,그리스마스,그리스음식,서울 마포구 동교로46길 42-5 지층 101호,-1,4.9,0.0,4.9
연세대 맛집,카멜로연남,양식,서울 마포구 연희로1길 57 1.5층,-1,4.73,0.0,4.73
연세대 맛집,삼양양꼬치,양꼬치,서울 서대문구 연세로7안길 34-7,-1,4.61,0.0,4.61
연세대 맛집,컴포즈커피 신촌연세대점,카페,서울 서대문구 연세로 29-1 1층,-1,4.54,0.0,4.54
연세대 맛집,고기랑,"육류,고기요리",서울 서대문구 연세로5다길 6 1층,-1,4.48,0.0,4.48
